SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0270,0.0,0,5980,25990000
S01,P0271,0.0,0,4112,27590000
S01,P0272,0.0,0,7008,49519000
S01,P0273,0.0,0,3332,29990000
S01,P0274,0.0,0,5022,27090000
S01,P0275,0.0,0,13963,94500000
S01,P0276,0.0,5,29944,15590000
S01,P0277,0.0,0,6789,25480000
S01,P0278,0.0,0,3052,99490000
S01,P0279,0.0,0,5147,86990000
S01,P0280,0.0,0,9083,25990000
S01,P0281,0.0,0,14866,18590000
S01,P0282,0.0,0,758,27590000
S01,P0283,0.0,0,35860,18990000
S01,P0284,0.0,4,103291,15990000
S01,P0285,0.0,0,8965,38990000
S01,P0286,0.0,0,10430,55990000
S01,P0287,0.0,0,11051,61990000
S01,P0288,0.0,0,5505,21160000
S01,P0289,0.0,0,5206,29480000
S01,P0290,0.0,0,1135,31990000
S01,P0291,0.0,0,794,26590000
S01,P0292,0.0,0,4067,40090000
S01,P0293,0.0,0,9696,16790000
S01,P0294,0.0,0,2823,53990000
S01,P0295,0.0,0,3565,25990000
S01,P0296,0.0,0,1748,58990000
S01,P0297,0.0,0,13598,24590000
S01,P0298,0.0,0,3433,52990000
S01,P0299,0.0,0,1089,28690000
S01,P0300,0.0,0,15009,26890000
S01,P0301,0.0,0,13254,13790000
S01,P0302,0.0,0,55998,31990000
S01,P0303,0.0,0,20873,25990000
S01,P0304,0.0,0,8126,26999000
S01,P0305,0.0,0,9588,28490000
S01,P0306,0.0,0,6267,25990000
